score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
450000,Tata,ALTROZ,XM PETROL,2021,Manual,Petrol,1,8798,31590
440000,Tata,Tiago,XZA PLUS PETROL,2021,Automatic,Petrol,2,8602,25482
435000,Ford,Ecosport,TITANIUM 1.5L PETROL AT,2017,Automatic,Petrol,1,8504,87914
430000,Tata,Tiago,XZA PETROL,2021,Automatic,Petrol,2,8407,17023
430000,Renault,Duster,RXS PETROL,2019,Manual,Petrol,1,8407,26099
420000,Maruti,Ciaz,DELTA 1.4 AT PETROL,2017,Automatic,Petrol,1,8211,65588
410000,Honda,Amaze,1.2L I-VTEC S,2019,Manual,Petrol,1,8016,31680
400000,Maruti,Ciaz,ZXI+,2016,Manual,Petrol,1,7820,96179
370000,Renault,Kwid,RXT 1.0,2022,Manual,Petrol,1,7234,12054
370000,Maruti,New Wagon-R,VXI 1.0,2021,Manual,Petrol,1,7234,73501
370000,Maruti,S PRESSO,VXI PLUS AMT,2021,Automatic,Petrol,1,7234,24661
369000,Renault,Kwid,RXT 1.0,2022,Manual,Petrol,1,7214,5905
365000,Renault,Kwid,RXL 0.8 (O),2022,Manual,Petrol,1,7136,16850
335000,Maruti,S PRESSO,VXI+,2021,Manual,Petrol,1,6549,7716
320100,Hyundai,Grand i10,ASTA (O) 1.2 KAPPA VTVT,2014,Manual,Petrol,1,8429,56171
315000,Maruti,Swift Dzire,VXI,2016,Manual,Petrol,1,6158,95730
314000,Datsun,Redi Go,S 1.0,2019,Manual,Petrol,1,6139,31598
308000,Maruti,Alto,LXI O,2022,Manual,Petrol,1,6021,18525
305000,Honda,Amaze,1.2L I-VTEC SX,2016,Manual,Petrol,1,5963,67860
300840,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2016,Manual,Petrol,1,5881,53612
300000,Maruti,Swift,LXI (O),2017,Manual,Petrol,2,5865,33486
298000,Maruti,Swift,VXI,2015,Manual,Petrol,1,6629,28748
290000,Volkswagen,Ameo,HIGHLINE1.2L,2016,Manual,Petrol,2,5670,59016
280000,Maruti,Swift,VXI,2015,Manual,Petrol,1,6228,75303
280000,Maruti,Alto K10,VXI,2019,Manual,Petrol,1,5474,25502
278000,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2015,Manual,Petrol,1,6184,34246
275000,Honda,Amaze,1.2L I-VTEC S,2016,Manual,Petrol,1,5376,83934
269000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2015,Manual,Petrol,1,5984,40625
252000,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2015,Manual,Petrol,1,5606,78222
249000,Hyundai,Xcent,BASE 1.1,2015,Manual,Diesel,1,6557,75443
243040,Hyundai,i10,MAGNA 1.2,2013,Manual,Petrol,1,8072,38025
235000,Renault,Kwid,RXT 1.0 (O),2016,Manual,Petrol,1,4594,15687
229000,Maruti,Wagon R 1.0,VXI,2013,Manual,Petrol,1,7606,42786
210000,Hyundai,i10,SPORTZ 1.1,2015,Manual,Petrol,1,4671,69813
192000,Maruti,Ritz,VXI,2014,Manual,Petrol,1,5056,83359
185000,Maruti,Alto 800,LXI,2016,Manual,Petrol,1,3617,75330
