score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
1046000,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,2019,Automatic,Petrol,1,19910,90397
1042000,Tata,NEXON,XZ PLUS (O) PETROL DUAL TONE,2022,Manual,Petrol,1,19834,19525
1030000,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,2,19605,23889
1024000,KIA,SELTOS,HTE 1.5 PETROL,2022,Manual,Petrol,1,19491,27930
1024000,Mahindra,XUV500,W5,2020,Manual,Diesel,2,19491,48058
1017000,Tata,NEXON,XZA PLUS (O) DIESEL,2021,Automatic,Diesel,1,19358,58249
1017000,Tata,NEXON,XZ Plus LUX,2022,Manual,Petrol,1,19358,15622
1012000,KIA,CARENS,PREMIUM 1.4 PETROL 7 STR,2022,Manual,Petrol,1,19262,34655
1011000,Mahindra,BOLERO NEO,N10 R,2023,Manual,Diesel,1,19243,21506
1009700,Hyundai,Creta,SX AT 1.6 PETROL,2019,Automatic,Petrol,1,19219,47966
1006000,Volkswagen,Polo,1.0 GT TSI AT,2021,Automatic,Petrol,1,19148,18699
1005000,KIA,SELTOS,HTX 1.5 PETROL,2019,Manual,Petrol,1,19129,61030
1004000,Tata,NEXON,XZA PLUS SUNROOF DARK PETROL,2023,Automatic,Petrol,1,19110,30357
999000,Hyundai,NEW I20,ASTA (O) 1.0 TURBO GDI DCT,2023,Automatic,Petrol,1,19015,18797
995000,Mahindra,XUV500,W5,2019,Manual,Diesel,1,18939,32405
993000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2022,Manual,Petrol,1,18901,25071
990000,Skoda,Rapid,STYLE AT TSI,2021,Automatic,Petrol,1,18844,45738
988000,KIA,SONET,GTX PLUS 1.5 AT,2020,Automatic,Diesel,1,18806,56820
983000,MG,ASTOR,Sprint 1.5 MT (Ivory),2024,Manual,Petrol,1,18710,12791
975000,Hyundai,EXTER,SX(O) CONNECT 1.2 AMT,2023,Automatic,Petrol,1,18558,21264
975000,KIA,SELTOS,HTX 1.5 PETROL,2019,Manual,Petrol,1,18558,49528
975000,Mahindra,XUV300,W8 (O) 1.2 PETROL,2022,Manual,Petrol,1,18558,20668
