score,make,model,variant,year,transmissionType,fuelType,ownership,emi,odometer
290000,Toyota,Etios Liva,G,2013,Manual,Petrol,1,9632,49994
289000,Maruti,Alto K10,VXI,2018,Manual,Petrol,2,5650,30527
285000,Volkswagen,Vento,HIGHLINE 1.6 MPI,2013,Manual,Petrol,2,9466,92053
280000,Hyundai,i10,SPORTZ 1.1,2014,Manual,Petrol,1,7373,32322
268000,Renault,Kwid,RXT 0.8,2016,Manual,Petrol,1,5239,73025
260000,Maruti,Alto 800,LXI,2016,Manual,Petrol,1,5083,38582
259760,Maruti,Wagon R 1.0,VXI,2014,Manual,Petrol,1,6840,94037
255000,Maruti,Alto 800,LXI,2018,Manual,Petrol,2,4985,29702
250000,Renault,Kwid,RXT 0.8,2017,Manual,Petrol,1,4888,49849
245000,Maruti,Alto 800,LXI,2015,Manual,Petrol,2,5450,22364
235000,Maruti,Ritz,VXI,2013,Manual,Petrol,2,7805,48239
234000,Hyundai,i10,MAGNA 1.2,2013,Manual,Petrol,2,7772,80213
208000,Hyundai,Eon,D-LITE+,2014,Manual,Petrol,2,5477,26204
